Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-2,50,24.375,-0.0,1.0,FHNode099,Section-2_Node_50,0.25,0.035
Section-3,1,24.375,0.0,2.0,FHNode100,Section-3_Node_1,0.25,0.035
Section-3,2,24.18500189,3.11831069,2.0,FHNode101,Section-3_Node_2,0.25,0.035
Section-3,3,23.597553,6.18800711,2.0,FHNode102,Section-3_Node_3,0.25,0.035
Section-3,4,22.62197096,9.15862101,2.0,FHNode103,Section-3_Node_4,0.25,0.035
Section-3,5,21.27395744,11.98126962,2.0,FHNode104,Section-3_Node_5,0.25,0.035
Section-3,6,19.57534548,14.60946002,2.0,FHNode105,Section-3_Node_6,0.25,0.035
Section-3,7,17.55374598,16.99985498,2.0,FHNode106,Section-3_Node_7,0.25,0.035
Section-3,8,15.24209891,19.11298749,2.0,FHNode107,Section-3_Node_8,0.25,0.035
Section-3,9,12.67813661,20.91391242,2.0,FHNode108,Section-3_Node_9,0.25,0.035
Section-3,10,9.90376797,22.37278436,2.0,FHNode109,Section-3_Node_10,0.25,0.035
Section-3,11,6.96439335,23.46535217,2.0,FHNode110,Section-3_Node_11,0.25,0.035
Section-3,12,3.90816172,24.17336209,2.0,FHNode111,Section-3_Node_12,0.25,0.035
Section-3,13,0.78518189,24.48486259,2.0,FHNode112,Section-3_Node_13,0.25,0.035
Section-3,14,-2.353299,24.39440596,2.0,FHNode113,Section-3_Node_14,0.25,0.035
Section-3,15,-5.45573647,23.90314328,2.0,FHNode114,Section-3_Node_15,0.25,0.035
Section-3,16,-8.4711352,23.01881091,2.0,FHNode115,Section-3_Node_16,0.25,0.035
Section-3,17,-11.34988728,21.755609,2.0,FHNode116,Section-3_Node_17,0.25,0.035
Section-3,18,-14.04458832,20.13397348,2.0,FHNode117,Section-3_Node_18,0.25,0.035
Section-3,19,-16.51081804,18.18024561,2.0,FHNode118,Section-3_Node_19,0.25,0.035
Section-3,20,-18.70787251,15.92624407,2.0,FHNode119,Section-3_Node_20,0.25,0.035
Section-3,21,-20.59943595,13.40874687,2.0,FHNode120,Section-3_Node_21,0.25,0.035
Section-3,22,-22.15418091,10.66889123,2.0,FHNode121,Section-3_Node_22,0.25,0.035
Section-3,23,-23.34628716,7.75150139,2.0,FHNode122,Section-3_Node_23,0.25,0.035
Section-3,24,-24.15587038,4.70435533,2.0,FHNode123,Section-3_Node_24,0.25,0.035
Section-3,25,-24.56931374,1.57740228,2.0,FHNode124,Section-3_Node_25,0.25,0.035
Section-3,26,-24.57949685,-1.57805606,2.0,FHNode125,Section-3_Node_26,0.25,0.035
Section-3,27,-24.18591811,-4.71020713,2.0,FHNode126,Section-3_Node_27,0.25,0.035
Section-3,28,-23.39470838,-7.76757834,2.0,FHNode127,Section-3_Node_28,0.25,0.035
Section-3,29,-22.21853583,-10.69988292,2.0,FHNode128,Section-3_Node_29,0.25,0.035
Section-3,30,-20.67640322,-13.45884701,2.0,FHNode129,Section-3_Node_30,0.25,0.035
Section-3,31,-18.79334094,-15.9990044,2.0,FHNode130,Section-3_Node_31,0.25,0.035
